Age,Income,Credit_Score,Employment_Years,Debt_to_Income,Loan_Amount,Education,Marital_Status,Previous_Default,Default
79,43524,850,0,0.742560668581343,3824,High School,Married,Yes,1
50,57580,587,0,1.8328167327093965,17517,High School,Divorced,Yes,1
26,53525,479,0,0.6689703531168372,14791,High School,Single,No,1
68,18385,659,7,1.7172492981495344,9129,Graduate,Married,No,1
37,60897,672,4,0.35180692795568536,710,High School,Single,No,0
42,14319,514,3,1.1534073297993128,3259,Bachelor,Single,No,1
33,57365,708,0,1.0811904723668195,14692,Graduate,Divorced,No,1
24,53403,413,4,0.9002624605208444,15106,Bachelor,Married,Yes,1
27,16214,626,0,0.8798364063229909,4524,Other,Single,No,0
33,33843,569,0,2.7797740365888526,9006,Other,Single,No,1
31,49981,627,3,0.7715479822082159,4958,High School,Married,No,0
58,16120,684,3,2.3742349457735843,6036,Bachelor,Married,No,1
55,57093,780,0,2.0509738170405054,8425,High School,Single,Yes,1
21,43873,676,2,0.028725210360705078,4295,High School,Divorced,No,0
33,15795,551,4,0.31351114640091016,1493,High School,Single,No,0
45,22814,519,0,0.6799545528362995,8690,Bachelor,Single,No,1
70,49291,506,1,1.051246595756306,19901,Bachelor,Divorced,No,1
32,8000,602,3,1.0736530236877844,4400,High School,Single,No,1
71,45681,650,0,2.076158875236885,14084,High School,Single,No,1
18,45635,377,0,0.07606384685476786,16884,Graduate,Married,Yes,1
18,87148,440,1,1.0061467135711597,13022,High School,Married,No,1
19,57835,580,2,0.3551081704708514,4687,High School,Single,No,0
59,67043,445,5,2.8021279187580603,16222,Bachelor,Divorced,No,1
58,46155,653,1,1.1793263007756876,5420,Other,Married,No,1
90,50919,600,3,2.651542233101737,31260,High School,Single,No,1
29,61360,372,1,0.8883401296231206,10093,Bachelor,Married,No,1
47,51228,640,3,1.6404127252608136,11290,Graduate,Single,No,1
29,66236,560,1,0.36333354021730146,13178,High School,Married,No,0
62,35645,749,0,2.7450676675235677,1066,Graduate,Married,No,1
54,40772,608,4,1.1167868537268735,10060,Bachelor,Divorced,No,1
51,55627,705,3,1.34536619850121,14086,Bachelor,Single,No,1
48,62528,561,1,0.7478492314987131,760,Bachelor,Married,No,0
58,33422,478,1,1.2746413823996778,5316,Bachelor,Married,No,1
48,30311,751,8,1.6539037913942276,8074,High School,Single,No,1
59,87900,561,5,2.7573914920793996,2653,Graduate,Single,No,1
71,57552,850,1,2.477750377037453,17586,High School,Single,No,1
59,59211,382,1,0.48815108505695404,21140,High School,Married,Yes,1
56,46958,513,3,0.6913091765455595,17795,High School,Married,No,1
40,48253,808,2,1.3791314983534546,1397,Bachelor,Single,No,1
42,80017,563,4,0.5927697483577153,3575,Bachelor,Married,No,0
18,54343,359,1,0.49605560773753943,11905,High School,Married,No,1
71,102583,518,2,1.0304566000778066,21903,Bachelor,Married,No,1
77,48140,677,3,2.121587908779721,12002,High School,Single,Yes,1
33,50259,309,1,0.8786619744075607,20688,Bachelor,Married,Yes,1
18,48291,455,2,0.5251333555659321,5243,High School,Single,No,1
46,54063,420,0,2.17968421831716,21149,Bachelor,Single,No,1
31,12165,544,0,1.3667396961050686,12757,Bachelor,Married,No,1
23,25351,300,1,0.2777864378941043,21441,Graduate,Single,No,1
43,64426,613,4,2.1058290248947946,9404,High School,Single,No,1
40,45561,513,4,0.41347878534302906,12290,High School,Single,No,1
78,60064,495,5,1.448240266132672,26823,High School,Single,Yes,1
61,74366,804,3,2.3413604120929827,2600,Graduate,Single,No,1
18,107454,300,1,1.6887536218216834,27290,Graduate,Divorced,No,1
66,38429,663,1,1.2594537289211405,15143,High School,Single,No,1
40,60756,471,2,2.2751923241332443,14907,Bachelor,Single,No,1
65,84051,645,1,1.8087992478949177,7769,Graduate,Single,No,1
49,55475,594,0,0.5455348918757882,7994,Bachelor,Divorced,Yes,0
49,58407,422,2,0.8448217957440424,11000,Bachelor,Married,No,1
52,47434,373,4,0.1312993236000647,19142,High School,Single,No,1
55,29575,520,0,0.21435902760292036,18314,High School,Married,No,1
42,15472,468,0,1.9085747335227183,14011,Graduate,Single,No,1
18,49689,420,4,0.8237695332066675,10527,Graduate,Single,Yes,1
67,55297,626,2,1.4921324771973064,12573,Bachelor,Single,No,1
54,65397,518,1,1.0711759562584453,10136,High School,Single,Yes,1
29,67902,553,1,0.9479656735663159,5848,High School,Single,No,0
73,63426,549,1,1.4037811348278941,17886,Graduate,Married,No,1
46,51318,752,1,1.6572758592825,2060,Graduate,Single,No,1
82,46975,463,2,1.5552884293806466,32724,Graduate,Married,No,1
62,16363,569,1,1.147031042478619,14757,Graduate,Single,No,1
23,90079,531,1,0.03572261444636715,10311,Bachelor,Single,No,1
56,24819,736,4,1.9516384028112577,14986,High School,Married,No,1
18,62824,468,0,0.5262472395687237,12049,High School,Divorced,No,1
25,63518,391,1,0.9823758464429144,20210,Graduate,Single,Yes,1
26,20793,754,0,1.1174969526696104,25705,Bachelor,Married,Yes,1
55,58721,531,7,0.2921077027983485,12755,High School,Single,No,1
67,60373,532,1,1.258913825566204,16365,High School,Single,Yes,1
61,40927,660,3,1.5081159438817977,3960,Bachelor,Single,No,1
34,38622,472,0,0.051381967764368985,3095,High School,Single,No,1
33,70320,641,0,0.023398285946789166,6806,High School,Single,No,0
64,80578,577,7,0.9172529685235729,19069,Bachelor,Single,Yes,0
68,22032,513,2,1.0618280259788533,15597,Bachelor,Married,No,1
47,66223,644,0,1.7255595237076684,9827,Bachelor,Single,No,1
37,64118,513,4,1.4349971992272117,14273,High School,Married,No,1
46,29711,456,1,0.16782313828369522,10475,Graduate,Single,No,1
66,26336,448,2,0.5610064589047115,22251,High School,Married,No,1
71,31551,850,0,2.1822191152718067,16097,High School,Married,No,1
34,38113,471,1,0.8891969686424929,21753,Graduate,Single,No,1
39,23924,621,5,1.9252693025804795,1146,Bachelor,Single,Yes,1
60,60853,435,1,1.0328321798333613,18047,Graduate,Married,No,1
42,65837,515,0,1.2898056391969335,15199,Bachelor,Married,No,1
31,42254,533,0,0.38784632771339234,6474,Bachelor,Single,No,1
77,75639,798,0,3.0,7531,High School,Single,No,1
60,72230,530,2,0.25617287721307025,6655,Bachelor,Married,No,1
33,33530,450,3,1.6163060316559106,18019,High School,Single,No,1
74,78109,356,0,1.5076465669507786,26304,High School,Married,Yes,1
55,25361,725,3,0.4094456279256462,7256,Other,Single,No,1
52,18721,492,0,0.2724804525854836,14839,Bachelor,Single,Yes,1
67,35194,649,4,1.5351681848996215,10737,Graduate,Married,No,1
42,28839,564,2,0.6878419441230599,12199,Bachelor,Married,No,1
77,44531,486,1,1.1804977377819295,30044,Graduate,Single,No,1
59,53461,570,1,1.3526875443609987,6588,Bachelor,Married,No,1
30,16569,567,1,0.5103288163089594,7135,Bachelor,Married,No,0
56,35830,664,1,1.5374822007041546,2547,Bachelor,Married,No,1
64,34714,844,1,1.2963395412354262,1176,High School,Single,No,1
52,15105,699,2,0.2087952396836753,500,Graduate,Married,No,1
38,45303,530,2,0.5671500148962688,20338,High School,Married,No,1
56,32586,480,1,0.22911975270271168,18040,High School,Married,Yes,1
50,23058,558,0,2.489925983925466,15124,Bachelor,Married,No,1
56,44350,623,1,1.6377039848007267,2090,High School,Single,No,1
44,46223,457,2,1.4982964755601096,19438,Graduate,Married,No,1
65,64895,850,2,2.3170331133207664,911,Other,Married,No,1
46,60261,634,2,1.9738838375002392,11477,Graduate,Single,No,1
44,41124,458,1,0.4137990963337259,4873,Bachelor,Married,No,1
56,78914,384,4,0.7374668576893674,13189,High School,Single,No,1
56,58269,661,6,1.6157975795059318,29415,Graduate,Married,No,1
66,35286,487,0,1.1790949930184287,16053,Bachelor,Single,No,1
70,35683,848,1,1.4595973586808344,2304,Other,Married,No,1
35,37102,665,3,1.0171679767644453,2218,Other,Divorced,No,1
37,46635,684,3,0.09753685828455416,22242,Graduate,Married,No,1
50,90561,637,3,0.9411146396131367,2106,High School,Divorced,No,0
59,57086,850,2,1.1620984431930035,6807,Bachelor,Divorced,No,1
52,21962,665,2,1.1607172168195068,4452,Graduate,Single,No,1
69,67364,443,3,0.9728196449073483,20980,High School,Married,No,1
18,57013,522,0,1.2559500972575004,15434,High School,Married,No,1
72,34047,383,2,1.3009139392987525,25416,Bachelor,Married,Yes,1
61,36147,372,3,0.3121497389322998,27505,Graduate,Single,No,1
46,82589,493,1,0.500961342735497,3224,Bachelor,Divorced,No,1
36,70997,641,0,0.9647050797773532,10789,Bachelor,Married,No,0
69,51477,469,8,1.2666981197778615,23851,High School,Married,No,1
28,9357,349,6,1.9735192087511366,19959,Bachelor,Single,No,1
58,60622,528,3,1.3527446404220433,9434,Other,Single,No,1
18,54509,664,2,0.22332276518270233,500,High School,Married,Yes,0
72,47589,628,1,1.681830523852088,13948,Bachelor,Single,No,1
42,55979,480,1,1.6278844205390657,10647,Graduate,Married,No,1
18,49934,654,5,0.09250339078555747,990,Graduate,Single,No,0
57,36664,506,1,0.7838823851934579,11480,Bachelor,Married,Yes,1
55,31217,732,1,1.6555837203440507,7475,Graduate,Single,No,1
34,74176,300,0,1.3604086734297085,25032,Bachelor,Married,No,1
90,82940,412,0,1.3991586376779428,42980,High School,Married,No,1
42,29194,659,0,0.11148108294326409,3671,Graduate,Single,No,1
41,49136,510,5,0.19441792895982546,500,Graduate,Single,No,1
59,59851,593,0,1.2183989375228605,8164,Graduate,Single,Yes,1
53,16014,748,1,0.8070793605262336,1658,Graduate,Married,No,1
33,25654,512,2,0.06566856302629231,5532,Bachelor,Married,No,1
27,45256,386,0,0.8122807383117086,16934,Bachelor,Married,No,1
42,55865,571,2,0.7655509439320809,3669,Graduate,Married,No,0
59,65007,602,0,0.9050512398574817,10066,Bachelor,Married,No,0
45,16454,649,1,0.5602083193681753,500,Graduate,Single,No,0
38,33278,617,3,1.3404874554822435,6312,Graduate,Single,No,1
31,38951,553,2,1.5369863327045514,16513,Graduate,Single,No,1
64,55032,807,1,0.9396840008045089,1641,High School,Divorced,No,1
50,53838,410,1,0.09893574444862985,17506,Bachelor,Married,No,1
34,29160,685,0,0.6873332007702546,610,High School,Single,No,0
54,56026,705,0,0.9939144685766832,1102,Bachelor,Married,No,0
52,39874,546,4,0.8520843431800604,6945,High School,Married,No,1
71,46638,610,0,1.438630524190776,14593,Bachelor,Married,Yes,1
33,81913,495,0,0.2381523108150605,917,Bachelor,Single,No,1
39,47198,624,2,1.532477583419144,12544,High School,Single,No,1
69,51570,833,7,1.3867104938663646,10102,Bachelor,Married,No,1
27,9714,444,7,0.86510713419086,15779,High School,Divorced,No,1
38,51640,560,5,0.47698556528261493,8685,High School,Married,No,1
57,40487,495,1,3.0,15177,Graduate,Single,No,1
69,58445,474,0,1.5006634018798204,15795,Bachelor,Single,No,1
49,61204,652,2,0.6302097865973133,612,High School,Married,No,1
61,51672,520,0,0.8749873515613209,17451,Bachelor,Married,No,1
41,56697,474,0,0.9737578326660076,13502,Graduate,Married,No,1
29,64287,300,1,2.0691274181231476,37095,High School,Married,Yes,1
49,56909,524,0,0.42664642715236534,5782,Bachelor,Single,No,1
57,50674,733,2,2.550886171712435,28200,High School,Married,No,1
46,42386,626,3,0.7737748169085392,7821,High School,Married,No,0
67,26114,612,2,2.3622560705000373,16429,Bachelor,Single,No,1
18,70080,501,3,2.0386726622654296,19040,Bachelor,Married,No,1
47,60919,525,4,1.4409481624544451,20505,Bachelor,Single,No,1
18,24259,368,2,0.32489807186966435,23305,Graduate,Single,No,1
31,71732,340,1,0.7862878790671224,14197,Other,Single,No,1
52,57163,507,7,1.6798029673484098,1989,Bachelor,Single,No,1
55,50045,601,0,2.6485840663352773,16915,High School,Single,No,1
25,69976,446,1,0.42111047584068284,12922,Graduate,Married,No,1
41,70655,610,1,1.919498137085831,13105,High School,Married,No,1
30,29256,575,1,1.1665857949953535,16428,Bachelor,Married,No,1
18,45561,387,0,0.13897148893152866,16040,High School,Single,Yes,1
50,51263,633,3,2.1544604354376053,10568,High School,Single,No,1
79,61482,535,1,1.5450641518980983,25471,Other,Married,No,1
22,21681,767,1,0.005434755019158244,4711,Graduate,Single,No,0
45,68650,636,0,0.8403022842755818,1185,Bachelor,Single,No,0
18,28968,317,6,0.57937965223594,20910,Bachelor,Married,No,1
73,53126,541,0,1.661854703488267,14715,High School,Married,No,1
50,32506,720,3,0.7274754302754598,500,High School,Married,No,0
68,37611,726,0,1.8504250444755161,4172,High School,Married,No,1
38,43322,412,0,0.19195449928375696,2280,Bachelor,Single,No,1
32,36935,569,6,1.2463504846895452,6523,Graduate,Married,Yes,1
18,38362,407,2,2.0247732258162694,9325,Bachelor,Single,Yes,1
80,42675,850,4,2.399430784829697,18430,High School,Married,No,1
18,45875,500,0,0.07351762433275955,11592,Other,Single,Yes,1
73,70135,515,5,0.8695021384840166,27173,Graduate,Married,No,1
50,48886,504,1,0.4326515446278726,7282,Bachelor,Single,No,1
47,38477,748,4,1.3570048748538177,7065,Bachelor,Divorced,No,1
40,66623,512,0,1.5388675507322471,15797,Bachelor,Married,No,1
44,88685,759,0,1.098405125596697,10080,High School,Married,Yes,1
52,37719,599,0,0.23408331153163753,6938,Bachelor,Married,No,0
55,46292,723,0,0.9964064321924122,16757,Graduate,Married,No,1
57,38643,536,0,0.8381282523394866,19036,High School,Married,No,1
33,58942,591,3,2.37076482787571,3268,High School,Married,Yes,1
62,78410,616,1,1.0732093620393806,13136,High School,Married,No,1
18,67979,515,0,1.1462891139596934,23602,High School,Married,Yes,1
62,51984,683,2,3.0,8627,Graduate,Divorced,No,1
26,42945,595,1,0.8410530616535411,10245,Graduate,Married,No,0
68,23130,590,2,0.8487528433725746,19932,Bachelor,Married,No,0
86,56817,556,2,1.7782043647879673,30018,High School,Married,No,1
61,51784,749,4,0.8065839582213741,1917,Bachelor,Married,No,1
44,44338,324,1,0.2101938648298305,17821,Bachelor,Married,No,1
31,24988,602,6,1.098649116025479,4848,High School,Single,No,1
58,34342,471,0,0.31602269556232576,19063,Bachelor,Married,No,1
45,13029,700,1,1.2800728302576383,7498,Bachelor,Divorced,No,1
32,82007,482,3,0.9312889688392716,18031,Bachelor,Married,No,1
62,83270,644,2,3.0,7381,Bachelor,Married,No,1
52,40306,518,0,1.8284956934636214,14184,High School,Single,No,1
26,53152,552,1,0.8261439560901389,8344,Bachelor,Married,No,0
27,52982,395,3,1.0182321719901317,13875,Bachelor,Married,No,1
18,33691,525,7,0.4943752276464928,4911,Bachelor,Married,No,1
18,41530,408,2,0.3253679188608425,17819,Graduate,Single,No,1
68,64517,850,2,1.6420863199030713,3096,Bachelor,Married,No,1
66,21201,560,0,1.1548183158028054,9287,High School,Married,Yes,1
46,27689,562,1,1.53455753915354,14010,High School,Single,No,1
25,22439,512,1,1.550389601513908,16713,Bachelor,Single,Yes,1
45,38499,636,4,0.37410054604953324,5583,High School,Single,No,0
49,72080,470,2,0.8205607051083785,9151,Bachelor,Married,No,1
62,75759,462,0,0.6603738875977085,18058,Graduate,Single,No,1
39,54986,462,4,0.09231720107531927,2361,Bachelor,Single,No,1
53,40715,656,6,1.0795224359636115,3914,Bachelor,Married,No,1
69,64395,574,2,1.1702251068996505,17759,Bachelor,Single,No,1
72,29301,553,2,3.0,15775,Bachelor,Single,No,1
59,59522,581,0,1.1043686126834116,15627,Bachelor,Married,No,1
47,38573,633,0,2.3132099203305208,9495,Graduate,Married,No,1
65,65276,850,2,1.1420244325351785,1652,Bachelor,Married,No,1
49,28091,668,0,0.5287225688647499,10288,Other,Married,No,1
43,83066,672,2,1.468711254520485,3570,Graduate,Married,No,1
41,59314,626,0,0.016170332812384336,4590,High School,Married,No,0
46,53897,694,0,0.6603670099356951,5064,High School,Single,No,1
27,71326,697,1,0.16683973097162041,2857,High School,Single,No,0
59,36993,561,2,1.5321799403095602,3574,High School,Married,No,1
56,53274,709,1,0.6991193864239782,13569,High School,Single,No,1
35,50966,567,1,3.0,6728,Bachelor,Married,No,1
52,8743,725,1,2.3385684665689435,5779,High School,Married,No,1
40,40397,582,1,0.32405326557193126,4237,High School,Single,No,0
49,41989,719,0,2.157165445916387,595,Graduate,Single,No,1
58,8000,845,1,1.2769019058573148,2852,High School,Single,No,1
58,54670,748,1,1.7026064723131915,23461,Graduate,Married,No,1
37,27058,684,0,0.7697842446028793,2154,High School,Married,Yes,0
53,66718,528,4,3.0,16296,High School,Married,No,1
18,63684,314,0,1.3133641331498818,15823,Bachelor,Single,No,1
50,57338,667,0,2.2987761066430927,8779,Bachelor,Married,No,1
35,33195,456,1,0.5283666985014159,16511,Graduate,Married,No,1
38,63888,526,0,0.3376761739999259,3536,Graduate,Single,No,1
59,22862,607,2,1.00489290087766,8681,Graduate,Married,No,1
35,55451,661,2,1.9674045841376842,18179,High School,Divorced,No,1
53,30639,619,4,0.7579754868980697,9863,High School,Single,No,0
54,53880,525,4,0.9146585699465661,9504,Graduate,Married,No,1
63,56681,645,5,2.7729675027410687,9858,Graduate,Single,No,1
43,39071,608,0,1.1254781802617706,14750,Other,Married,No,1
65,76390,552,3,1.9414584690453882,6180,Bachelor,Single,No,1
46,8000,721,2,0.9815656772895139,4667,Bachelor,Divorced,No,0
18,46046,442,1,0.5642137450791356,13017,Graduate,Married,No,1
35,60559,695,3,0.9805518736474955,2761,High School,Married,No,0
21,35527,538,2,0.7836839411196745,8754,Graduate,Married,No,1
47,32994,846,1,0.9338216261962575,5658,Graduate,Married,No,0
18,52713,478,1,1.4044218780086704,1620,Bachelor,Married,Yes,1
20,60864,446,1,0.26207004124289535,12138,Graduate,Married,No,1
73,64844,555,0,1.4414292288883244,19612,Graduate,Divorced,Yes,1
58,17341,788,1,1.8174185559680467,12281,High School,Married,No,1
18,49745,432,3,0.48070806746930195,8909,Graduate,Divorced,No,1
37,36938,477,2,1.231572350166043,16835,Bachelor,Married,No,1
74,46148,441,3,1.0969374493054547,28415,Graduate,Married,No,1
46,58946,525,2,0.7980580822926439,1111,High School,Married,No,1
31,48568,484,3,1.0258042436465902,9024,Graduate,Single,No,1
27,52271,485,0,0.15400360572098004,14502,Bachelor,Single,No,1
18,51365,519,1,0.6597366624629688,6606,High School,Single,No,1
44,65586,501,4,0.7031459430166249,2736,Graduate,Married,No,1
20,49415,677,0,0.3388880400660592,5476,High School,Single,Yes,0
38,70605,609,1,0.3950138367454171,7820,High School,Married,No,0
44,57079,672,1,0.7056549151130469,6257,Other,Divorced,No,0
59,68958,381,0,0.11955235273808795,23633,Other,Single,No,1
36,62579,729,0,2.009077700508646,1475,Bachelor,Married,No,1
51,59046,642,1,1.2823240514061642,38346,Bachelor,Single,No,1
41,47777,455,2,0.029870525031910677,9256,Bachelor,Single,No,1
25,33071,519,0,1.2354309836785884,11000,High School,Married,Yes,1
39,43855,624,5,0.5725522804595762,10370,High School,Married,No,0
71,20598,537,1,1.0041643079795484,23167,Bachelor,Married,No,1
73,104467,641,3,1.9101702644805285,13133,Graduate,Single,No,1
20,83063,421,0,0.1691941337502998,13924,Graduate,Married,No,1
22,8000,579,3,1.2826727075681392,5174,Graduate,Single,No,1
31,58008,461,5,1.0080446563410332,11055,High School,Single,No,1
37,65143,521,0,0.899397438855096,19713,Bachelor,Single,No,1
66,79421,359,2,0.9228305391956445,22790,High School,Single,No,1
